epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
91,1226.58,0.54337,1.16108,0.65803,0.99872,0,0.74382,0.61444,0.68516,0.52546,0.74569,0.61719,0.68545,0.4964,0.88598,1.80471,1.14123,1.21667,0,0.000181703,0.000181703,0.000181703
92,1238.61,0.537,1.06272,0.57904,0.98825,0,0.67955,0.64549,0.67947,0.52301,0.68303,0.64715,0.68333,0.49476,0.8872,1.82989,1.13814,1.22113,0,0.0001652,0.0001652,0.0001652
93,1274.32,0.50004,0.99636,0.53834,0.95024,0,0.67961,0.68229,0.69263,0.5398,0.67961,0.68229,0.69431,0.50554,0.86419,1.78301,1.0498,1.18792,0,0.000148696,0.000148696,0.000148696
91,3077.65,0.52741,1.08146,0.60461,0.97294,0,0.64668,0.69271,0.69409,0.51719,0.67408,0.65073,0.67861,0.48516,0.92105,1.84895,1.11743,1.25601,0,0.000181703,0.000181703,0.000181703
94,1309.35,0.50183,1.022,0.53773,0.96332,0,0.67584,0.68281,0.70003,0.53972,0.67213,0.67865,0.69482,0.5064,0.86249,1.77517,1.03821,1.18521,0,0.000132193,0.000132193,0.000132193
95,1344.57,0.48901,0.96763,0.49039,0.94416,0,0.69101,0.65074,0.68907,0.52976,0.69131,0.6599,0.68966,0.50276,0.87791,1.78156,1.06531,1.20014,0,0.00011569,0.00011569,0.00011569
96,1513.11,0.49288,1.01155,0.51906,0.96677,0,0.72214,0.62745,0.69726,0.53361,0.70862,0.64715,0.69806,0.50847,0.87054,1.75146,1.07582,1.20324,0,9.91865e-05,9.91865e-05,9.91865e-05
97,1609.9,0.48483,0.94191,0.49728,0.95105,0,0.69643,0.65424,0.69702,0.53855,0.70701,0.65028,0.69227,0.51138,0.86614,1.75067,1.09533,1.20316,0,8.26832e-05,8.26832e-05,8.26832e-05
92,3464.83,0.52191,1.08047,0.57264,0.97395,0,0.6576,0.66302,0.69117,0.52086,0.69467,0.64115,0.68636,0.48859,0.89147,1.82385,1.10064,1.23643,0,0.0001652,0.0001652,0.0001652
98,1707.81,0.47367,0.9973,0.49278,0.93761,0,0.72608,0.64967,0.70437,0.54507,0.72814,0.65176,0.69792,0.51601,0.86673,1.75236,1.08437,1.20645,0,6.61799e-05,6.61799e-05,6.61799e-05
93,3569.3,0.52083,1.04942,0.54361,0.97825,0,0.67515,0.70258,0.71429,0.54283,0.67171,0.70131,0.70165,0.5056,0.86656,1.77358,1.01626,1.20864,0,0.000148696,0.000148696,0.000148696
99,1809.28,0.46609,0.95842,0.47802,0.93317,0,0.68417,0.68448,0.70669,0.54436,0.69597,0.66454,0.70221,0.52084,0.8667,1.75183,1.08054,1.21066,0,4.96766e-05,4.96766e-05,4.96766e-05
94,3669.98,0.50708,1.01141,0.54441,0.96869,0,0.67787,0.69115,0.71431,0.55016,0.68143,0.69271,0.71062,0.51837,0.84951,1.77291,0.9854,1.20338,0,0.000132193,0.000132193,0.000132193
100,1905.04,0.48507,0.98245,0.50284,0.96406,0,0.70069,0.67388,0.70815,0.54945,0.70044,0.66841,0.70501,0.52164,0.85937,1.72672,1.06667,1.20542,0,3.31733e-05,3.31733e-05,3.31733e-05
95,3721.28,0.49932,0.98662,0.51346,0.95533,0,0.66628,0.7,0.71777,0.551,0.66365,0.6974,0.71734,0.52638,0.86734,1.78136,1.01059,1.22039,0,0.00011569,0.00011569,0.00011569
96,3755.17,0.49541,0.99354,0.53811,0.96426,0,0.66804,0.71022,0.71736,0.5519,0.6685,0.71179,0.71219,0.5254,0.86856,1.7933,1.05016,1.21438,0,9.91865e-05,9.91865e-05,9.91865e-05
97,3786.06,0.48568,1.0425,0.51069,0.95119,0,0.67922,0.69531,0.71855,0.55172,0.68182,0.70171,0.70922,0.52427,0.86397,1.74775,1.053,1.21015,0,8.26832e-05,8.26832e-05,8.26832e-05
98,3819.95,0.49743,0.97775,0.51581,0.97204,0,0.67551,0.70729,0.7125,0.54987,0.67726,0.70937,0.70032,0.51987,0.84975,1.75816,1.0559,1.20242,0,6.61799e-05,6.61799e-05,6.61799e-05
99,3846.89,0.48635,0.96164,0.5136,0.95348,0,0.69722,0.67733,0.71666,0.55263,0.71056,0.66406,0.70745,0.52352,0.85691,1.75496,1.05406,1.20802,0,4.96766e-05,4.96766e-05,4.96766e-05
100,3878.13,0.47277,0.95665,0.47826,0.94978,0,0.70944,0.66823,0.71827,0.55433,0.70974,0.65312,0.70581,0.52479,0.8583,1.74936,1.04427,1.20728,0,3.31733e-05,3.31733e-05,3.31733e-05
