epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
84,782.533,0.56259,1.17299,0.60177,0.98052,0,0.70582,0.64479,0.67465,0.5211,0.70646,0.65378,0.66784,0.48935,0.88767,1.7792,1.18499,1.24522,0,0.000297226,0.000297226,0.000297226
85,791.649,0.53572,1.09069,0.58627,0.97023,0,0.72343,0.61618,0.67125,0.51996,0.73322,0.6151,0.65982,0.48219,0.89206,1.80452,1.20983,1.2429,0,0.000280723,0.000280723,0.000280723
86,800.651,0.53067,1.10915,0.57844,0.97289,0,0.7207,0.61509,0.67462,0.52931,0.73097,0.62138,0.676,0.49402,0.86033,1.763,1.1368,1.22229,0,0.00026422,0.00026422,0.00026422
87,809.939,0.53553,1.10584,0.57661,0.97261,0,0.64179,0.67656,0.68026,0.53474,0.65374,0.6705,0.68195,0.50265,0.86061,1.7606,1.08496,1.21648,0,0.000247716,0.000247716,0.000247716
88,819.067,0.5206,1.08136,0.5548,0.95947,0,0.63526,0.70428,0.68716,0.53835,0.64132,0.71105,0.68445,0.50632,0.83276,1.73621,1.08999,1.20069,0,0.000231213,0.000231213,0.000231213
89,828.171,0.54462,1.16101,0.58621,0.98136,0,0.74601,0.63624,0.69473,0.54545,0.74778,0.63347,0.68984,0.50657,0.83426,1.74122,1.08342,1.20441,0,0.00021471,0.00021471,0.00021471
90,837.191,0.52501,1.07766,0.56462,0.9701,0,0.68904,0.68958,0.70948,0.55406,0.69274,0.67529,0.70372,0.51348,0.84965,1.78117,1.0763,1.20739,0,0.000198206,0.000198206,0.000198206
91,854.159,0.48385,1.00544,0.56668,0.9558,0,0.67629,0.63393,0.65117,0.50489,0.68134,0.63706,0.66336,0.47381,0.87493,1.84998,1.15564,1.23261,0,0.000181703,0.000181703,0.000181703
92,862.866,0.47744,0.97995,0.52063,0.94907,0,0.70509,0.63333,0.65661,0.50322,0.69333,0.63489,0.66134,0.47544,0.88224,1.81763,1.16492,1.24788,0,0.0001652,0.0001652,0.0001652
93,871.653,0.47538,0.99151,0.50511,0.95356,0,0.67793,0.68281,0.692,0.53828,0.67736,0.68073,0.68843,0.50529,0.83102,1.70398,1.07328,1.20919,0,0.000148696,0.000148696,0.000148696
94,880.331,0.46468,0.91294,0.49208,0.94982,0,0.70763,0.65677,0.69942,0.54448,0.70206,0.66213,0.69853,0.51278,0.82149,1.6798,1.05064,1.20727,0,0.000132193,0.000132193,0.000132193
95,889.362,0.464,0.90261,0.46825,0.93605,0,0.69738,0.67755,0.70275,0.54524,0.69174,0.67412,0.70023,0.51356,0.82434,1.71406,1.05522,1.20972,0,0.00011569,0.00011569,0.00011569
96,898.416,0.45556,0.90412,0.47253,0.94477,0,0.73593,0.65374,0.70183,0.5405,0.71424,0.65938,0.69832,0.5105,0.83905,1.72705,1.1004,1.21852,0,9.91865e-05,9.91865e-05,9.91865e-05
97,907.177,0.43825,0.90757,0.45121,0.93697,0,0.71952,0.64792,0.70173,0.54085,0.71609,0.64531,0.69704,0.5111,0.83585,1.70555,1.09044,1.21636,0,8.26832e-05,8.26832e-05,8.26832e-05
98,915.826,0.44262,0.91017,0.46077,0.93784,0,0.70641,0.64429,0.70202,0.54381,0.70941,0.64167,0.69727,0.51616,0.82675,1.69309,1.07074,1.21153,0,6.61799e-05,6.61799e-05,6.61799e-05
99,924.457,0.44103,0.87739,0.45491,0.93112,0,0.71533,0.64531,0.70283,0.54075,0.71754,0.64531,0.69331,0.51335,0.84216,1.681,1.06984,1.22459,0,4.96766e-05,4.96766e-05,4.96766e-05
100,933.144,0.43405,0.87116,0.42768,0.93298,0,0.66302,0.68826,0.70537,0.54103,0.72089,0.64502,0.69413,0.51137,0.8399,1.68656,1.0687,1.22232,0,3.31733e-05,3.31733e-05,3.31733e-05
